Sterilisator,counter: 00004
Sterilisator,model: ST01-PL
Sterilisator,serial: 2017-0023
Sterilisator,firmware: 16.5
Sterilisator,start time: 27-03-17 09:18:13
Sterilisator,type: 121
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.00,112.4,112.4
1,1,-0.00,112.4,112.4
1,2,-0.01,112.4,112.4
1,3,-0.02,112.4,112.4
1,4,-0.02,112.4,112.4
1,5,-0.01,112.3,112.3
1,6,-0.01,112.3,112.3
1,7,-0.01,112.3,112.3
1,8,-0.01,112.3,112.3
1,9,-0.01,112.3,112.3
1,10,-0.01,112.3,112.3
1,11,-0.01,112.3,112.3
1,12,-0.01,112.2,112.2
2,13,-0.04,112.2,112.2
2,14,-0.10,112.2,112.2
2,15,-0.16,112.2,112.2
2,16,-0.21,112.2,112.2
2,17,-0.25,112.1,112.1
2,18,-0.29,112.1,112.1
2,19,-0.33,112.0,112.0
2,20,-0.36,111.9,111.9
2,21,-0.40,111.8,111.8
2,22,-0.42,111.7,111.7
2,23,-0.46,111.7,111.7
2,24,-0.48,111.6,111.6
2,25,-0.51,111.5,111.5
2,26,-0.53,111.4,111.4
2,27,-0.55,111.3,111.3
2,28,-0.57,111.2,111.2
2,29,-0.59,111.1,111.1
2,30,-0.61,111.1,111.1
2,31,-0.63,111.0,111.0
2,32,-0.65,111.0,111.0
2,33,-0.66,110.9,110.9
2,34,-0.67,110.9,110.9
2,35,-0.69,110.9,110.9
2,36,-0.70,110.9,110.9
2,37,-0.71,110.8,110.8
2,38,-0.72,110.8,110.8
2,39,-0.73,110.8,110.8
2,40,-0.74,110.8,110.8
2,41,-0.75,110.9,110.9
2,42,-0.76,110.9,110.9
2,43,-0.76,110.9,110.9
2,44,-0.77,110.9,110.9
2,45,-0.78,110.9,110.9
2,46,-0.78,111.0,111.0
2,47,-0.79,111.0,111.0
2,48,-0.80,111.1,111.1
3,49,-0.68,111.1,111.1
3,50,-0.10,111.2,111.2
3,51,0.06,111.4,111.4
3,52,0.17,111.7,111.7
3,53,0.21,112.0,112.0
3,54,0.62,112.4,112.4
3,55,0.75,112.8,112.8
3,56,0.72,113.3,113.3
3,57,0.72,113.8,113.8
3,58,0.82,114.2,114.2
3,59,0.82,114.6,114.6
4,60,0.33,115.0,115.0
4,61,0.48,115.4,115.4
4,62,0.35,115.6,115.6
4,63,0.20,115.7,115.7
4,64,0.01,115.7,115.7
4,65,-0.13,115.7,115.7
4,66,-0.25,115.6,115.6
4,67,-0.34,115.4,115.4
4,68,-0.40,115.2,115.2
4,69,-0.45,114.9,114.9
4,70,-0.49,114.7,114.7
4,71,-0.52,114.5,114.5
4,72,-0.53,114.3,114.3
4,73,-0.57,114.1,114.1
4,74,-0.61,113.9,113.9
4,75,-0.65,113.8,113.8
4,76,-0.69,113.7,113.7
4,77,-0.73,113.6,113.6
4,78,-0.76,113.5,113.5
4,79,-0.78,113.4,113.4
5,80,-0.79,113.3,113.3
5,81,-0.32,113.3,113.3
5,82,-0.19,113.3,113.3
5,83,-0.18,113.4,113.4
5,84,-0.17,113.5,113.5
5,85,0.11,113.7,113.7
5,86,0.53,113.9,113.9
5,87,0.49,114.2,114.2
5,88,0.45,114.5,114.5
5,89,0.44,114.8,114.8
5,90,0.77,115.2,115.2
5,91,0.79,115.6,115.6
5,92,0.78,116.1,116.1
6,93,0.57,116.5,116.5
6,94,0.46,116.8,116.8
6,95,0.31,117.0,117.0
6,96,0.15,117.1,117.1
6,97,-0.04,117.1,117.1
6,98,-0.19,117.0,117.0
6,99,-0.31,116.9,116.9
6,100,-0.41,116.7,116.7
6,101,-0.48,116.4,116.4
6,102,-0.56,116.2,116.2
6,103,-0.62,115.9,115.9
6,104,-0.66,115.6,115.6
6,105,-0.68,115.3,115.3
6,106,-0.70,115.1,115.1
6,107,-0.72,114.8,114.8
6,108,-0.73,114.6,114.6
6,109,-0.74,114.5,114.5
6,110,-0.75,114.4,114.4
6,111,-0.75,114.3,114.3
6,112,-0.76,114.2,114.2
6,113,-0.77,114.2,114.2
6,114,-0.77,114.1,114.1
6,115,-0.78,114.1,114.1
6,116,-0.79,114.1,114.1
6,117,-0.79,114.2,114.2
6,118,-0.80,114.2,114.2
7,119,-0.35,114.2,114.2
7,120,-0.19,114.3,114.3
7,121,-0.18,114.5,114.5
7,122,-0.17,114.7,114.7
7,123,0.07,114.9,114.9
7,124,0.53,115.2,115.2
7,125,0.47,115.5,115.5
7,126,0.44,115.9,115.9
7,127,0.41,116.2,116.2
7,128,0.77,116.5,116.5
7,129,0.79,116.9,116.9
7,130,0.77,117.3,117.3
7,131,0.76,117.6,117.6
7,132,0.84,117.9,117.9
7,133,0.93,118.3,118.3
7,134,0.91,118.7,118.7
7,135,0.90,119.0,119.0
7,136,0.89,119.4,119.4
7,137,0.98,119.7,119.7
7,138,1.00,120.0,120.0
7,139,0.99,120.3,120.3
7,140,0.98,120.7,120.7
7,141,1.01,120.9,120.9
7,142,1.08,121.2,121.2
7,143,1.09,121.5,121.5
7,144,1.09,121.8,121.8
7,145,1.09,122.1,122.1
7,146,1.11,122.4,122.4
7,147,1.11,122.7,122.7
7,148,1.12,122.9,122.9
7,149,1.11,123.1,123.1
11,150,0.91,123.3,123.3
11,151,0.88,123.4,123.4
11,152,0.83,123.4,123.4
11,153,0.78,123.3,123.3
11,154,0.73,123.1,123.1
11,155,0.65,122.8,122.8
11,156,0.56,122.5,122.5
11,157,0.47,122.2,122.2
11,158,0.38,121.8,121.8
11,159,0.30,121.4,121.4
11,160,0.23,121.1,121.1
11,161,0.17,120.7,120.7
11,162,0.12,120.3,120.3
11,163,0.07,119.9,119.9
11,164,-0.00,119.5,119.5
11,165,-0.06,119.2,119.2
11,166,-0.08,118.8,118.8
11,167,-0.08,118.5,118.5
11,168,-0.08,118.2,118.2
11,169,-0.08,117.9,117.9
11,170,-0.07,117.7,117.7
11,171,-0.07,117.5,117.5
11,172,-0.07,117.3,117.3
11,173,-0.07,117.1,117.1
11,174,-0.08,117.0,117.0
11,175,-0.08,116.9,116.9
11,176,-0.08,116.8,116.8
11,177,-0.07,116.8,116.8
11,178,-0.07,116.7,116.7
11,179,-0.06,116.7,116.7
12,180,-0.02,116.6,116.6
Sterilization Not Complete
Error nr: 16
Error description: ERROR
Sterilisator,stop time: 27-03-17 09:21:15
