Sterilisator,counter: 00041
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 16-01-17 13:15:50
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.00,112.6,112.6
2,1,-0.04,112.7,112.7
2,2,-0.09,112.9,112.9
2,3,-0.15,113.0,113.0
2,4,-0.19,113.2,113.2
2,5,-0.22,113.3,113.3
2,6,-0.22,113.3,113.3
2,7,-0.23,113.4,113.4
2,8,-0.24,113.5,113.5
2,9,-0.24,113.5,113.5
2,10,-0.25,113.6,113.6
2,11,-0.26,113.7,113.7
2,12,-0.27,113.8,113.8
2,13,-0.29,114.0,114.0
2,14,-0.33,114.1,114.1
2,15,-0.36,114.2,114.2
2,16,-0.39,114.3,114.3
2,17,-0.42,114.4,114.4
2,18,-0.46,114.5,114.5
2,19,-0.48,114.5,114.5
2,20,-0.50,114.6,114.6
2,21,-0.52,114.7,114.7
2,22,-0.55,114.7,114.7
2,23,-0.57,114.8,114.8
2,24,-0.59,114.9,114.9
2,25,-0.61,115.0,115.0
2,26,-0.62,115.1,115.1
2,27,-0.64,115.2,115.2
2,28,-0.65,115.3,115.3
2,29,-0.67,115.4,115.4
2,30,-0.68,115.5,115.5
2,31,-0.70,115.6,115.6
2,32,-0.71,115.7,115.7
2,33,-0.72,115.8,115.8
2,34,-0.73,115.8,115.8
2,35,-0.74,115.9,115.9
2,36,-0.75,116.0,116.0
2,37,-0.76,116.2,116.2
2,38,-0.77,116.5,116.5
2,39,-0.78,116.6,116.6
2,40,-0.79,116.8,116.8
2,41,-0.79,116.9,116.9
3,42,-0.80,117.1,117.1
3,43,-0.36,117.2,117.2
3,44,-0.19,117.5,117.5
3,45,-0.12,117.7,117.7
3,46,-0.09,118.1,118.1
3,47,0.40,118.4,118.4
3,48,0.72,118.8,118.8
3,49,0.71,119.2,119.2
3,50,0.71,119.7,119.7
3,51,0.70,120.0,120.0
