Sterilisator,counter: 00068
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 24-01-17 11:14:09
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.01,22.4,22.4
0,1,0.01,22.4,22.4
0,2,0.01,22.4,22.4
0,3,0.01,22.4,22.4
0,4,0.01,22.4,22.4
0,5,0.01,22.4,22.4
0,6,0.01,22.4,22.4
0,7,0.01,22.4,22.4
0,8,0.01,22.4,22.4
0,9,0.01,22.4,22.4
0,10,0.01,22.4,22.4
0,11,0.01,22.4,22.4
0,12,0.01,22.4,22.4
0,13,0.01,22.4,22.4
0,14,0.00,22.4,22.4
0,15,0.01,22.4,22.4
0,16,0.00,22.4,22.4
0,17,0.01,22.4,22.4
0,18,0.01,22.4,22.4
0,19,0.01,22.4,22.4
0,20,0.01,22.4,22.4
0,21,0.01,22.4,22.4
0,22,0.01,22.4,22.4
0,23,0.00,22.4,22.4
0,24,0.00,22.5,22.5
0,25,0.01,22.5,22.5
0,26,0.01,22.5,22.5
0,27,0.01,22.5,22.5
0,28,0.01,22.5,22.5
0,29,0.01,22.5,22.5
0,30,0.01,22.5,22.5
11,31,-0.03,22.5,22.5
11,32,-0.04,22.5,22.5
11,33,-0.06,22.5,22.5
11,34,-0.06,22.5,22.5
11,35,-0.07,22.4,22.4
11,36,-0.07,22.4,22.4
11,37,-0.07,22.4,22.4
11,38,-0.07,22.4,22.4
11,39,-0.07,22.4,22.4
11,40,-0.07,22.4,22.4
11,41,-0.07,22.4,22.4
11,42,-0.07,22.3,22.3
11,43,-0.07,22.3,22.3
11,44,-0.07,22.3,22.3
11,45,-0.07,22.3,22.3
12,46,-0.05,22.3,22.3
Sterilization Not Complete
Error nr: 16384
Error description: ERROR
Sterilisator,stop time: 24-01-17 11:14:57
