Sterilisator,counter: 00005
Sterilisator,model: ST01-PL
Sterilisator,serial: 2017-0023
Sterilisator,firmware: 16.5
Sterilisator,start time: 27-03-17 09:22:16
Sterilisator,type: 121
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,117.0,117.0
1,1,-0.10,117.0,117.0
2,2,-0.21,116.9,116.9
2,3,-0.27,116.9,116.9
2,4,-0.34,116.9,116.9
2,5,-0.41,116.8,116.8
2,6,-0.48,116.7,116.7
2,7,-0.55,116.6,116.6
2,8,-0.60,116.5,116.5
2,9,-0.63,116.3,116.3
2,10,-0.65,116.2,116.2
2,11,-0.68,116.0,116.0
2,12,-0.71,115.9,115.9
2,13,-0.75,115.8,115.8
2,14,-0.77,115.7,115.7
2,15,-0.79,115.5,115.5
3,16,-0.78,115.4,115.4
3,17,-0.18,115.4,115.4
3,18,-0.13,115.4,115.4
3,19,-0.13,115.5,115.5
3,20,-0.13,115.6,115.6
3,21,0.29,115.7,115.7
3,22,0.56,115.9,115.9
3,23,0.53,116.2,116.2
3,24,0.50,116.5,116.5
3,25,0.56,116.8,116.8
3,26,0.81,117.0,117.0
3,27,0.79,117.4,117.4
4,28,0.65,117.7,117.7
4,29,0.55,118.0,118.0
4,30,0.44,118.2,118.2
4,31,0.28,118.4,118.4
4,32,0.12,118.4,118.4
4,33,-0.07,118.4,118.4
4,34,-0.23,118.3,118.3
4,35,-0.34,118.2,118.2
4,36,-0.44,117.9,117.9
4,37,-0.51,117.7,117.7
4,38,-0.57,117.4,117.4
4,39,-0.63,117.1,117.1
4,40,-0.68,116.8,116.8
4,41,-0.72,116.5,116.5
4,42,-0.74,116.2,116.2
4,43,-0.75,116.0,116.0
4,44,-0.76,115.7,115.7
4,45,-0.77,115.5,115.5
4,46,-0.77,115.4,115.4
4,47,-0.78,115.3,115.3
4,48,-0.78,115.2,115.2
4,49,-0.78,115.1,115.1
4,50,-0.79,115.1,115.1
4,51,-0.79,115.0,115.0
5,52,-0.75,115.0,115.0
5,53,-0.16,115.0,115.0
5,54,-0.14,115.2,115.2
5,55,-0.16,115.4,115.4
5,56,-0.16,115.6,115.6
5,57,0.25,115.8,115.8
5,58,0.52,116.0,116.0
5,59,0.48,116.4,116.4
5,60,0.44,116.7,116.7
5,61,0.51,117.0,117.0
5,62,0.79,117.4,117.4
5,63,0.76,117.7,117.7
5,64,0.75,118.0,118.0
5,65,0.74,118.3,118.3
5,66,0.82,118.6,118.6
5,67,0.80,118.9,118.9
6,68,0.64,119.1,119.1
6,69,0.55,119.3,119.3
6,70,0.45,119.4,119.4
6,71,0.32,119.5,119.5
6,72,0.19,119.5,119.5
6,73,-0.01,119.4,119.4
6,74,-0.15,119.2,119.2
6,75,-0.29,119.0,119.0
6,76,-0.39,118.8,118.8
6,77,-0.47,118.5,118.5
6,78,-0.54,118.1,118.1
6,79,-0.59,117.8,117.8
6,80,-0.65,117.5,117.5
6,81,-0.70,117.1,117.1
6,82,-0.74,116.8,116.8
6,83,-0.76,116.5,116.5
6,84,-0.78,116.2,116.2
6,85,-0.78,116.0,116.0
6,86,-0.78,115.8,115.8
6,87,-0.79,115.6,115.6
6,88,-0.80,115.5,115.5
7,89,-0.51,115.3,115.3
7,90,-0.11,115.3,115.3
7,91,-0.12,115.4,115.4
7,92,-0.13,115.6,115.6
7,93,-0.13,115.7,115.7
7,94,0.47,115.9,115.9
7,95,0.54,116.2,116.2
7,96,0.50,116.5,116.5
7,97,0.47,116.8,116.8
7,98,0.68,117.1,117.1
7,99,0.79,117.5,117.5
7,100,0.76,117.8,117.8
7,101,0.75,118.1,118.1
7,102,0.74,118.4,118.4
7,103,0.87,118.7,118.7
7,104,0.87,119.0,119.0
7,105,0.86,119.2,119.2
7,106,0.85,119.5,119.5
7,107,0.90,119.7,119.7
7,108,0.95,120.0,120.0
7,109,0.94,120.2,120.2
7,110,0.93,120.5,120.5
7,111,0.93,120.7,120.7
7,112,1.01,120.9,120.9
7,113,1.01,121.1,121.1
7,114,1.00,121.4,121.4
7,115,1.00,121.6,121.6
7,116,1.03,121.8,121.8
7,117,1.07,122.0,122.0
7,118,1.09,122.3,122.3
7,119,1.10,122.5,122.5
7,120,1.09,122.7,122.7
7,121,1.12,123.0,123.0
7,122,1.13,123.2,123.2
7,123,1.12,123.4,123.4
11,124,1.11,123.6,123.6
11,125,0.91,123.7,123.7
11,126,0.87,123.8,123.8
11,127,0.84,123.7,123.7
11,128,0.80,123.6,123.6
11,129,0.76,123.5,123.5
11,130,0.72,123.2,123.2
11,131,0.67,123.0,123.0
11,132,0.61,122.8,122.8
11,133,0.54,122.5,122.5
11,134,0.46,122.2,122.2
11,135,0.38,121.9,121.9
11,136,0.30,121.6,121.6
11,137,0.24,121.3,121.3
11,138,0.19,121.0,121.0
11,139,0.14,120.6,120.6
11,140,0.10,120.3,120.3
11,141,0.06,119.9,119.9
11,142,-0.02,119.6,119.6
11,143,-0.07,119.2,119.2
11,144,-0.08,118.9,118.9
11,145,-0.08,118.6,118.6
11,146,-0.08,118.3,118.3
11,147,-0.08,118.0,118.0
11,148,-0.08,117.8,117.8
11,149,-0.08,117.6,117.6
11,150,-0.07,117.4,117.4
11,151,-0.08,117.2,117.2
11,152,-0.08,117.1,117.1
11,153,-0.08,117.0,117.0
11,154,-0.07,116.9,116.9
11,155,-0.08,116.8,116.8
11,156,-0.08,116.7,116.7
12,157,-0.05,116.7,116.7
Sterilization Not Complete
Error nr: 16
Error description: ERROR
Sterilisator,stop time: 27-03-17 09:24:56
