Sterilisator,counter: 00039
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 13-01-17 10:54:42
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.00,92.1,92.1
1,1,-0.01,92.0,92.0
1,2,-0.01,91.8,91.8
1,3,-0.01,91.6,91.6
1,4,-0.01,91.4,91.4
1,5,-0.01,91.2,91.2
1,6,-0.01,91.0,91.0
1,7,-0.01,90.8,90.8
1,8,-0.01,90.6,90.6
1,9,-0.01,90.4,90.4
1,10,-0.01,90.3,90.3
1,11,-0.01,90.1,90.1
1,12,-0.01,89.9,89.9
1,13,-0.01,89.8,89.8
1,14,-0.01,89.6,89.6
1,15,-0.00,89.5,89.5
1,16,-0.00,89.4,89.4
1,17,-0.00,89.2,89.2
1,18,-0.01,89.1,89.1
1,19,-0.01,89.0,89.0
1,20,-0.00,88.9,88.9
1,21,-0.00,88.8,88.8
1,22,-0.00,88.7,88.7
1,23,-0.00,88.5,88.5
1,24,-0.00,88.5,88.5
1,25,0.00,88.4,88.4
1,26,-0.00,88.3,88.3
1,27,-0.00,88.2,88.2
1,28,-0.00,88.1,88.1
1,29,0.00,88.1,88.1
1,30,0.00,88.0,88.0
1,31,0.00,87.9,87.9
1,32,0.00,87.9,87.9
1,33,0.00,87.8,87.8
1,34,0.01,87.8,87.8
1,35,0.01,87.7,87.7
1,36,0.01,87.7,87.7
1,37,0.01,87.6,87.6
1,38,0.01,87.6,87.6
1,39,0.01,87.6,87.6
1,40,0.01,87.6,87.6
1,41,0.01,87.5,87.5
1,42,0.01,87.5,87.5
1,43,0.01,87.5,87.5
1,44,0.01,87.5,87.5
1,45,0.01,87.5,87.5
1,46,0.01,87.5,87.5
1,47,0.01,87.5,87.5
1,48,0.01,87.5,87.5
1,49,0.01,87.5,87.5
1,50,0.01,87.5,87.5
1,51,0.01,87.5,87.5
1,52,0.01,87.6,87.6
1,53,0.01,87.6,87.6
1,54,0.01,87.6,87.6
1,55,0.01,87.6,87.6
1,56,0.01,87.7,87.7
1,57,0.01,87.7,87.7
1,58,0.01,87.7,87.7
1,59,0.01,87.8,87.8
1,60,0.01,87.8,87.8
1,61,0.01,87.9,87.9
1,62,0.01,87.9,87.9
1,63,0.01,88.0,88.0
1,64,0.01,88.1,88.1
1,65,0.01,88.1,88.1
1,66,0.01,88.2,88.2
