Sterilisator,counter: 00062
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 14:19:38
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,116.7,116.7
1,1,-0.01,116.6,116.6
1,2,-0.01,116.5,116.5
1,3,-0.01,116.4,116.4
1,4,-0.01,116.2,116.2
1,5,-0.01,116.1,116.1
1,6,-0.01,115.9,115.9
1,7,-0.01,115.9,115.9
1,8,-0.01,115.8,115.8
1,9,-0.01,115.8,115.8
1,10,-0.01,115.8,115.8
1,11,-0.01,115.8,115.8
1,12,-0.01,115.8,115.8
1,13,-0.01,115.7,115.7
1,14,-0.01,115.7,115.7
1,15,-0.01,115.6,115.6
1,16,-0.01,115.6,115.6
1,17,-0.01,115.5,115.5
1,18,-0.00,115.5,115.5
1,19,-0.01,115.4,115.4
1,20,-0.01,115.4,115.4
1,21,-0.00,115.4,115.4
1,22,-0.00,115.3,115.3
1,23,-0.00,115.3,115.3
1,24,-0.00,115.2,115.2
1,25,0.00,115.2,115.2
1,26,-0.00,115.2,115.2
1,27,-0.00,115.2,115.2
1,28,0.00,115.1,115.1
1,29,0.00,115.1,115.1
1,30,-0.00,115.1,115.1
1,31,0.00,115.1,115.1
2,32,-0.02,115.1,115.1
2,33,-0.08,115.1,115.1
2,34,-0.12,115.0,115.0
2,35,-0.17,115.0,115.0
2,36,-0.22,114.9,114.9
2,37,-0.26,114.9,114.9
2,38,-0.29,114.8,114.8
2,39,-0.33,114.7,114.7
2,40,-0.36,114.6,114.6
2,41,-0.39,114.5,114.5
2,42,-0.41,114.4,114.4
2,43,-0.44,114.4,114.4
2,44,-0.47,114.3,114.3
2,45,-0.49,114.2,114.2
2,46,-0.51,114.1,114.1
2,47,-0.53,114.1,114.1
2,48,-0.55,114.0,114.0
2,49,-0.57,114.0,114.0
2,50,-0.58,114.0,114.0
2,51,-0.60,114.0,114.0
2,52,-0.62,113.9,113.9
2,53,-0.63,113.9,113.9
2,54,-0.64,113.9,113.9
2,55,-0.66,113.9,113.9
2,56,-0.67,114.0,114.0
2,57,-0.68,114.0,114.0
2,58,-0.69,114.0,114.0
2,59,-0.70,114.0,114.0
2,60,-0.71,114.1,114.1
2,61,-0.72,114.1,114.1
2,62,-0.72,114.1,114.1
2,63,-0.73,114.2,114.2
2,64,-0.74,114.2,114.2
2,65,-0.75,114.3,114.3
2,66,-0.76,114.3,114.3
2,67,-0.76,114.4,114.4
2,68,-0.77,114.4,114.4
2,69,-0.77,114.5,114.5
2,70,-0.77,114.5,114.5
2,71,-0.78,114.6,114.6
2,72,-0.79,114.6,114.6
2,73,-0.79,114.7,114.7
2,74,-0.79,114.7,114.7
2,75,-0.80,114.8,114.8
2,76,-0.80,114.8,114.8
3,77,-0.60,114.9,114.9
3,78,-0.25,115.0,115.0
3,79,-0.12,115.2,115.2
3,80,-0.08,115.5,115.5
3,81,0.32,115.7,115.7
3,82,0.90,116.0,116.0
3,83,0.91,116.6,116.6
3,84,0.92,117.1,117.1
3,85,0.91,117.6,117.6
3,86,1.03,118.0,118.0
3,87,1.04,118.4,118.4
4,88,0.79,118.8,118.8
4,89,0.57,119.0,119.0
4,90,0.40,119.1,119.1
4,91,0.27,119.0,119.0
4,92,0.16,118.9,118.9
4,93,0.07,118.7,118.7
4,94,-0.08,118.5,118.5
4,95,-0.20,118.2,118.2
4,96,-0.32,117.9,117.9
4,97,-0.41,117.7,117.7
4,98,-0.50,117.4,117.4
4,99,-0.56,117.1,117.1
4,100,-0.60,116.9,116.9
4,101,-0.63,116.6,116.6
4,102,-0.67,116.3,116.3
4,103,-0.70,116.0,116.0
4,104,-0.72,115.9,115.9
4,105,-0.75,115.9,115.9
4,106,-0.72,115.9,115.9
4,107,-0.76,115.9,115.9
4,108,-0.77,115.9,115.9
4,109,-0.78,115.9,115.9
4,110,-0.78,116.0,116.0
4,111,-0.78,116.2,116.2
4,112,-0.78,116.4,116.4
4,113,-0.79,116.5,116.5
4,114,-0.79,116.7,116.7
4,115,-0.79,116.8,116.8
4,116,-0.78,116.9,116.9
4,117,-0.79,117.0,117.0
4,118,-0.79,117.2,117.2
5,119,-0.80,117.3,117.3
5,120,-0.20,117.4,117.4
5,121,-0.05,117.6,117.6
5,122,-0.09,117.9,117.9
5,123,-0.12,118.2,118.2
5,124,0.29,118.5,118.5
5,125,0.83,118.8,118.8
5,126,0.78,119.2,119.2
5,127,0.74,119.6,119.6
5,128,0.70,120.0,120.0
5,129,1.05,120.4,120.4
5,130,1.03,120.8,120.8
6,131,0.91,121.2,121.2
6,132,0.66,121.5,121.5
6,133,0.45,121.7,121.7
6,134,0.28,121.7,121.7
6,135,0.15,121.7,121.7
6,136,0.06,121.6,121.6
6,137,-0.09,121.4,121.4
6,138,-0.24,121.1,121.1
6,139,-0.31,120.9,120.9
6,140,-0.39,120.6,120.6
6,141,-0.46,120.3,120.3
6,142,-0.52,120.1,120.1
6,143,-0.56,119.8,119.8
6,144,-0.60,119.6,119.6
6,145,-0.63,119.5,119.5
6,146,-0.66,119.3,119.3
6,147,-0.69,119.2,119.2
6,148,-0.71,119.2,119.2
6,149,-0.72,119.1,119.1
6,150,-0.73,119.1,119.1
6,151,-0.75,119.1,119.1
6,152,-0.75,119.1,119.1
6,153,-0.76,119.1,119.1
6,154,-0.76,119.2,119.2
6,155,-0.76,119.2,119.2
6,156,-0.77,119.3,119.3
6,157,-0.78,119.3,119.3
6,158,-0.78,119.4,119.4
6,159,-0.79,119.5,119.5
6,160,-0.78,119.5,119.5
